date,desk_id,product_id,quantity,amount
01-04-2023,1,102,37,98.24
01-04-2023,2,103,31,96.13
01-04-2023,2,102,42,87.23
01-04-2023,4,102,44,52.43
01-04-2023,5,103,41,80.85
01-04-2023,5,103,32,72.46
01-04-2023,2,101,31,64.39
01-04-2023,4,102,38,99.75
01-04-2023,1,101,15,62.09
01-04-2023,4,102,28,65.27
01-04-2023,4,103,47,98.4
01-04-2023,1,103,8,89.12
01-04-2023,1,103,14,68.93
01-04-2023,1,103,31,53.83
01-04-2023,3,103,21,82.14
01-04-2023,2,103,35,84.24
01-04-2023,5,102,24,69.62
01-04-2023,3,103,7,97.97
01-04-2023,2,103,9,91.96
01-04-2023,5,103,46,59.7
01-04-2023,5,102,9,94.42
01-04-2023,2,102,40,93.89
01-04-2023,3,102,21,56.79
01-04-2023,2,101,32,93.11
01-04-2023,3,101,2,76.45
01-04-2023,5,102,6,80.64
01-04-2023,1,101,13,74.69
01-04-2023,3,101,6,66.41
01-04-2023,3,102,49,81.31
01-04-2023,2,101,46,88.29
01-04-2023,4,103,23,100.76
01-04-2023,4,102,20,51.36
01-04-2023,2,103,14,55.96
01-04-2023,3,101,35,90.63
01-04-2023,5,103,39,62.01
01-04-2023,5,103,1,78.82
01-04-2023,4,101,40,53.39
01-04-2023,3,103,30,79.34
01-04-2023,2,103,6,66
01-04-2023,5,102,4,99.27
01-04-2023,2,102,50,78.03
01-04-2023,3,102,49,70.39
01-04-2023,1,101,45,71.3
01-04-2023,4,102,16,53.39
01-04-2023,3,103,26,56.15
01-04-2023,3,101,16,63.04
01-04-2023,2,103,26,95.49
01-04-2023,5,101,18,99.79
01-04-2023,1,101,21,96.87
01-04-2023,4,102,29,95.1
01-04-2023,5,101,40,58.29
01-04-2023,1,101,42,76.27
01-04-2023,3,102,3,54.08
01-04-2023,2,101,1,52.91
01-04-2023,4,103,12,93.76
01-04-2023,2,101,18,96.15
01-04-2023,4,102,31,81.65
01-04-2023,3,103,13,79.13
01-04-2023,3,101,46,87.69
01-04-2023,1,103,45,91.54
01-04-2023,3,101,7,76.64
01-04-2023,2,103,6,92.03
01-04-2023,4,101,29,98.77
01-04-2023,1,102,13,98.77
01-04-2023,5,102,40,55.27
01-04-2023,2,102,29,63.75
01-04-2023,3,101,45,98.99
01-04-2023,4,102,22,78.83
01-04-2023,5,102,35,64.1
01-04-2023,2,101,25,88.45
01-04-2023,5,103,17,57.38
01-04-2023,1,101,48,85.91
01-04-2023,2,102,36,56.43
01-04-2023,4,101,38,96.69
01-04-2023,2,101,10,97.47
01-04-2023,3,103,23,82.71
01-04-2023,2,101,25,84.72
01-04-2023,1,101,30,69.82
01-04-2023,5,101,22,86.47
01-04-2023,4,101,45,82.09
01-04-2023,5,102,16,50.42
01-04-2023,4,101,48,53.44
01-04-2023,2,102,25,62.99
01-04-2023,2,102,36,63.94
01-04-2023,2,103,3,58.15
01-04-2023,1,102,34,94.69
01-04-2023,3,103,45,84.95
01-04-2023,5,101,26,69.13
01-04-2023,5,102,37,60.58
01-04-2023,4,103,26,68.52
01-04-2023,5,101,10,85.99
01-04-2023,4,101,42,85.69
01-04-2023,1,101,27,70.72
01-04-2023,3,101,42,57.09
01-04-2023,3,101,37,83.82
01-04-2023,5,102,12,88.69
01-04-2023,2,101,18,63.61
01-04-2023,1,102,30,52.43
01-04-2023,1,101,22,74.43
01-04-2023,2,103,6,87.79
01-04-2023,3,103,7,50.46
01-04-2023,3,102,11,56.13
01-04-2023,5,102,25,54.17
01-04-2023,5,103,2,51.08
01-04-2023,4,103,9,62.34
