Trade_Date,Desk_id,Product_id,Buy/Sell,"Quantity "
2023-01-03,5,114,Buy,18
2023-01-03,3,115,Buy,18
2023-01-03,5,113,Sell,29
2023-01-03,5,113,Buy,23
2023-01-03,3,113,Sell,14
2023-01-03,2,111,Sell,19
2023-01-03,1,111,Sell,20
2023-01-03,3,111,Sell,30
2023-01-03,1,115,Sell,24
2023-01-03,5,111,Buy,23
2023-01-03,4,115,Sell,21
2023-01-03,1,111,Sell,17
2023-01-03,2,111,Sell,19
2023-01-03,4,114,Sell,29
2023-01-03,3,115,Sell,20
2023-01-03,5,111,Sell,23
2023-01-03,1,115,Buy,16
2023-01-03,1,115,Buy,30
2023-01-03,2,113,Buy,13
2023-01-03,5,115,Buy,17
2023-01-03,3,113,Buy,20
2023-01-03,3,113,Sell,20
2023-01-03,4,115,Sell,19
2023-01-03,2,114,Sell,11
2023-01-03,5,114,Sell,12
2023-01-03,4,114,Buy,19
2023-01-03,2,111,Sell,15
2023-01-03,4,114,Buy,19
2023-01-03,1,111,Buy,21
2023-01-03,2,111,Buy,10
2023-01-03,4,113,Sell,12
2023-01-03,3,115,Buy,11
2023-01-03,1,113,Sell,12
2023-01-03,1,113,Sell,19
2023-01-03,1,112,Buy,17
2023-01-03,5,113,Buy,13
2023-01-03,4,115,Buy,15
2023-01-03,5,114,Sell,19
2023-01-03,2,114,Sell,20
2023-01-03,2,114,Buy,26
2023-01-03,1,114,Buy,26
2023-01-03,2,113,Sell,30
2023-01-03,3,111,Buy,13
2023-01-03,5,115,Sell,25
2023-01-03,4,114,Sell,21
2023-01-03,1,111,Sell,27
2023-01-03,4,115,Buy,17
2023-01-03,4,113,Sell,29
2023-01-03,2,113,Buy,26
2023-01-03,1,115,Buy,22
2023-01-03,2,114,Sell,21
2023-01-03,2,114,Sell,12
2023-01-03,5,115,Buy,10
2023-01-03,3,114,Buy,22
2023-01-03,1,113,Sell,16
2023-01-03,4,113,Sell,25
2023-01-03,2,115,Buy,23
2023-01-03,2,114,Sell,22
2023-01-03,3,112,Buy,14
2023-01-03,1,112,Sell,18
2023-01-03,3,111,Sell,23
2023-01-03,1,113,Sell,10
2023-01-03,4,114,Sell,27
2023-01-03,5,112,Sell,20
2023-01-03,3,115,Sell,18
2023-01-03,1,111,Sell,21
2023-01-03,1,115,Sell,23
2023-01-03,1,111,Sell,14
2023-01-03,1,113,Buy,28
2023-01-03,3,112,Sell,16
2023-01-03,5,112,Buy,26
2023-01-03,1,111,Buy,21
2023-01-03,2,112,Sell,11
2023-01-03,4,114,Buy,23
2023-01-03,1,113,Sell,24
2023-01-03,5,112,Buy,26
2023-01-03,1,111,Sell,27
2023-01-03,3,114,Buy,21
2023-01-03,3,115,Buy,10
2023-01-03,2,114,Sell,27
2023-01-03,5,111,Sell,13
2023-01-03,1,113,Sell,29
2023-01-03,4,113,Sell,25
2023-01-03,1,111,Sell,27
2023-01-03,1,112,Sell,26
2023-01-03,1,112,Sell,20
2023-01-03,3,111,Buy,30
2023-01-03,5,113,Buy,26
2023-01-03,2,111,Sell,13
2023-01-03,5,113,Sell,11
2023-01-03,1,111,Buy,20
2023-01-03,3,113,Sell,30
2023-01-03,2,113,Sell,13
2023-01-03,4,111,Buy,26
2023-01-03,1,115,Sell,26
2023-01-03,1,111,Buy,16
2023-01-03,5,114,Buy,12
2023-01-03,2,115,Sell,23
2023-01-03,5,114,Sell,20
2023-01-03,3,113,Buy,28
