date,desk_id,product_id,quantity,amount
2023-04-03,3,102,27,-97.89
2023-04-03,5,103,44,-26.97
2023-04-03,1,102,32,54.51
2023-04-03,5,102,47,-78.45
2023-04-03,2,101,3,-55.2
2023-04-03,1,103,41,54.5
2023-04-03,2,101,45,3.84
2023-04-03,3,101,3,21.01
2023-04-03,5,101,3,-71.88
2023-04-03,4,102,22,18.59
2023-04-03,2,101,41,-88.53
2023-04-03,4,103,28,63.18
2023-04-03,5,103,10,-37.34
2023-04-03,3,101,29,88.84
2023-04-03,4,103,24,-91.53
2023-04-03,2,102,45,-16.84
2023-04-03,4,103,28,-38.7
2023-04-03,3,103,22,-57.51
2023-04-03,1,102,15,61.4
2023-04-03,4,102,26,-94.78
2023-04-03,4,102,22,54.6
2023-04-03,5,103,39,72.93
2023-04-03,3,103,9,-99.92
2023-04-03,5,103,25,-30.51
2023-04-03,3,102,26,-26.3
2023-04-03,2,102,6,32.19
2023-04-03,5,102,18,23.51
2023-04-03,2,102,33,-90.32
2023-04-03,4,102,15,51.01
2023-04-03,4,101,17,28.54
2023-04-03,5,103,46,45.39
2023-04-03,3,102,21,-71.82
2023-04-03,1,102,38,-97.94
2023-04-03,2,103,35,82.25
2023-04-03,1,102,9,-36.45
2023-04-03,1,101,48,-85.7
2023-04-03,4,101,47,-20.82
2023-04-03,3,103,20,-70.71
2023-04-03,3,101,47,-82.29
2023-04-03,4,102,8,11.56
2023-04-03,4,102,28,36.03
2023-04-03,5,102,9,37.78
2023-04-03,4,101,35,53.81
2023-04-03,1,103,1,-28.36
2023-04-03,2,103,14,52.48
2023-04-03,1,101,10,31.51
2023-04-03,4,103,10,97.36
2023-04-03,3,102,44,-39.26
2023-04-03,3,103,22,89.61
2023-04-03,5,102,41,-29.54
2023-04-03,3,102,22,18.88
2023-04-03,5,102,18,84.41
2023-04-03,2,102,10,-59.5
2023-04-03,4,101,23,11.23
2023-04-03,1,102,43,-25.69
2023-04-03,2,101,12,91.27
2023-04-03,2,102,1,-21.76
2023-04-03,4,101,31,98.32
2023-04-03,5,102,7,-8.12
2023-04-03,4,102,12,-11.05
2023-04-03,2,103,34,-63.38
2023-04-03,3,103,36,-91.47
2023-04-03,4,102,34,-43.77
2023-04-03,4,102,21,83.1
2023-04-03,3,102,30,-56.73
2023-04-03,4,103,43,-85.71
2023-04-03,1,103,28,85.3
2023-04-03,3,102,10,13.87
2023-04-03,4,102,4,42.38
2023-04-03,2,101,4,-89.98
2023-04-03,3,102,44,33.66
2023-04-03,2,102,14,36.46
2023-04-03,5,103,39,86.77
2023-04-03,4,101,5,-0.68
2023-04-03,4,103,39,-35.39
2023-04-03,5,101,39,-5.89
2023-04-03,1,101,29,-44.87
2023-04-03,5,103,50,11.38
2023-04-03,2,101,21,5.41
2023-04-03,5,102,34,-14.68
2023-04-03,5,102,10,-12.36
2023-04-03,5,103,35,26.08
2023-04-03,4,103,2,3.68
2023-04-03,2,103,34,-46.25
2023-04-03,5,102,35,-87.09
2023-04-03,4,103,35,-99.43
2023-04-03,5,103,34,21.07
2023-04-03,2,103,6,49.76
2023-04-03,5,102,16,46.5
2023-04-03,5,102,36,-65.28
2023-04-03,2,103,32,39.84
2023-04-03,5,102,33,56.24
2023-04-03,3,101,9,-51.66
2023-04-03,1,101,23,-26.34
2023-04-03,3,101,41,17.2
2023-04-03,3,101,16,40.79
2023-04-03,1,101,43,75.53
2023-04-03,4,103,3,-16.57
2023-04-03,4,103,3,69.66
2023-04-03,4,101,5,16.86
2023-04-03,5,103,3,58.32
2023-04-03,3,102,7,66.34
2023-04-03,5,101,45,-47.51
2023-04-03,2,103,1,-27.67
2023-04-03,2,103,7,-41.14
